unique_ID,SMILES,original_IUPAC_names,seed_formal_charge,pka_type,required_charge,found,protomer_count,reason,expansion_stage
perrin1128,CN(C)Cc1ccncc1,"pyridine, 4-(dimethylaminomethyl)-",0,pKaH1,1,True,2,,0
perrin1128,CN(C)Cc1ccncc1,"pyridine, 4-(dimethylaminomethyl)-",0,pKaH2,2,True,1,,0
perrin1129,Cc1cnccc1N(C)C,"pyridine, 4-dimethylamino-3-methyl-",0,pKaH1,1,True,2,,0
perrin113,CN(C)CCOCCN(C)C,"ethane, 1-dimethylamino-2-dimethylaminoethoxy-",0,pKaH1,1,True,1,,0
perrin113,CN(C)CCOCCN(C)C,"ethane, 1-dimethylamino-2-dimethylaminoethoxy-",0,pKaH2,2,True,1,,0
perrin1130,CN(C)c1ccc(N=Nc2ccccn2)cc1,"pyridine, 2-(4-dimethylamino)phenylazo-",0,pKaH1,1,True,4,,0
perrin1130,CN(C)c1ccc(N=Nc2ccccn2)cc1,"pyridine, 2-(4-dimethylamino)phenylazo-",0,pKaH2,2,True,6,,0
perrin1131,CN(C)c1ccc(N=Nc2ccncc2)cc1,"pyridine, 4-(4-dimethylamino)phenylazo-",0,pKaH1,1,True,4,,0
perrin1131,CN(C)c1ccc(N=Nc2ccncc2)cc1,"pyridine, 4-(4-dimethylamino)phenylazo-",0,pKaH2,2,True,6,,0
perrin1132,Cc1cncc(C)c1N(C)C,"pyridine, 3,5-dimethyl-4-dimethylamino-",0,pKaH1,1,True,2,,0
perrin1133,CNc1c(C)cncc1C,"pyridine, 3,5-dimethyl-4-methylamino-",0,pKaH1,1,True,4,,0
perrin1134,c1ccc(-c2cccc(-c3ccccn3)n2)nc1,"pyridine, 2,6-di(2-pyridyl)-",0,pKaH1,1,True,2,,0
perrin1134,c1ccc(-c2cccc(-c3ccccn3)n2)nc1,"pyridine, 2,6-di(2-pyridyl)-",0,pKaH2,2,True,2,,0
perrin1135,CCOc1ccncc1,"pyridine, 4-ethoxy-",0,pKaH1,1,True,1,,0
perrin1136,CCOC(=O)c1cccnc1,"pyridine, 3-ethoxycarbonyl-",0,pKaH1,1,True,1,,0
perrin1137,CCOC(=O)c1ccncc1,"pyridine, 4-ethoxycarbonyl-",0,pKaH1,1,True,1,,0
perrin1138,CCc1ccccn1,"pyridine, 2-ethyl-",0,pKaH1,1,True,2,,0
perrin1139,CCc1cccnc1,"pyridine, 3-ethyl-",0,pKaH1,1,True,1,,0
perrin114,CN(C)CCN(C)CCN(C)C,"ethane, 1-dimethylamino-2-(2-dimethylamino)ethylmethylamino-",0,pKaH1,1,True,2,,0
perrin114,CN(C)CCN(C)CCN(C)C,"ethane, 1-dimethylamino-2-(2-dimethylamino)ethylmethylamino-",0,pKaH2,2,True,2,,0
perrin114,CN(C)CCN(C)CCN(C)C,"ethane, 1-dimethylamino-2-(2-dimethylamino)ethylmethylamino-",0,pKaH3,3,True,1,,0
perrin1140,CCc1ccncc1,"pyridine, 4-ethyl-",0,pKaH1,1,True,1,,0
perrin1141,CCc1cccnc1O,"pyridine, 3-ethyl-2-hydroxy-",0,pKaH1,1,True,2,,0
perrin1142,CCc1cncc(C)c1,"pyridine, 3-ethyl-5-methyl-",0,pKaH1,1,True,1,,0
perrin1143,CCc1ccc(C)nc1,"pyridine, 3-ethyl-6-methyl-",0,pKaH1,1,True,2,,0
perrin1144,CCc1cnccc1NC,"pyridine, 3-ethyl-4-methylamino-",0,pKaH1,1,True,4,,0
