reaction_index,reaction_smiles,tabulated_constant,temperature_celsius,solvent,temperature,solvent_part,reactant_smiles,product_smiles,n_reactants,n_products
61,[C:1]([CH2:2][C:5]([O:6][CH2:8][CH3:9])=[O:7])([c:3]1[cH:10][cH:11][c:12]([Cl:15])[cH:13][cH:14]1)=[O:4]>>[C:1](=[CH:2]\[C:5]([O:6][CH2:8][CH3:9])=[O:7])(\[c:3]1[cH:10][cH:11][c:12]([Cl:15])[cH:13][cH:14]1)[OH:4],-0.36,25,ethanol,298,1.0,[C:1]([CH2:2][C:5]([O:6][CH2:8][CH3:9])=[O:7])([c:3]1[cH:10][cH:11][c:12]([Cl:15])[cH:13][cH:14]1)=[O:4],[C:1](=[CH:2]\[C:5]([O:6][CH2:8][CH3:9])=[O:7])(\[c:3]1[cH:10][cH:11][c:12]([Cl:15])[cH:13][cH:14]1)[OH:4],1,1
62,[C:1]([CH2:2][C:5]([O:6][CH2:8][CH3:9])=[O:7])([c:3]1[cH:10][cH:11][c:12]([O:15][CH3:16])[cH:13][cH:14]1)=[O:4]>>[C:1](=[CH:2]\[C:5]([O:6][CH2:8][CH3:9])=[O:7])(\[c:3]1[cH:10][cH:11][c:12]([O:15][CH3:16])[cH:13][cH:14]1)[OH:4],-0.89,25,ethanol,298,1.0,[C:1]([CH2:2][C:5]([O:6][CH2:8][CH3:9])=[O:7])([c:3]1[cH:10][cH:11][c:12]([O:15][CH3:16])[cH:13][cH:14]1)=[O:4],[C:1](=[CH:2]\[C:5]([O:6][CH2:8][CH3:9])=[O:7])(\[c:3]1[cH:10][cH:11][c:12]([O:15][CH3:16])[cH:13][cH:14]1)[OH:4],1,1
63,[C:1]([CH2:2][C:5]([O:6][CH2:8][CH3:9])=[O:7])([c:3]1[cH:10][cH:11][c:12]([C:15]#[N:16])[cH:13][cH:14]1)=[O:4]>>[C:1](=[CH:2]\[C:5]([O:6][CH2:8][CH3:9])=[O:7])(\[c:3]1[cH:10][cH:11][c:12]([C:15]#[N:16])[cH:13][cH:14]1)[OH:4],0.07,25,ethanol,298,1.0,[C:1]([CH2:2][C:5]([O:6][CH2:8][CH3:9])=[O:7])([c:3]1[cH:10][cH:11][c:12]([C:15]#[N:16])[cH:13][cH:14]1)=[O:4],[C:1](=[CH:2]\[C:5]([O:6][CH2:8][CH3:9])=[O:7])(\[c:3]1[cH:10][cH:11][c:12]([C:15]#[N:16])[cH:13][cH:14]1)[OH:4],1,1
64,[C:1]([CH2:2][C:5]([O:6][CH2:8][CH3:9])=[O:7])([c:3]1[cH:10][cH:11][c:12]([N+:15](=[O:16])[O-:17])[cH:13][cH:14]1)=[O:4]>>[C:1](=[CH:2]\[C:5]([O:6][CH2:8][CH3:9])=[O:7])(\[c:3]1[cH:10][cH:11][c:12]([N+:15](=[O:16])[O-:17])[cH:13][cH:14]1)[OH:4],0.16,25,ethanol,298,1.0,[C:1]([CH2:2][C:5]([O:6][CH2:8][CH3:9])=[O:7])([c:3]1[cH:10][cH:11][c:12]([N+:15](=[O:16])[O-:17])[cH:13][cH:14]1)=[O:4],[C:1](=[CH:2]\[C:5]([O:6][CH2:8][CH3:9])=[O:7])(\[c:3]1[cH:10][cH:11][c:12]([N+:15](=[O:16])[O-:17])[cH:13][cH:14]1)[OH:4],1,1
65,[C:1]([CH2:2][C:5](=[O:6])[NH:12][c:13]1[cH:14][c:15]([N+:19](=[O:20])[O-:21])[cH:16][cH:17][cH:18]1)([c:3]1[cH:7][cH:8][cH:9][cH:10][cH:11]1)=[O:4]>>[C:1](=[CH:2]\[C:5](=[O:6])[NH:12][c:13]1[cH:14][c:15]([N+:19](=[O:20])[O-:21])[cH:16][cH:17][cH:18]1)(\[c:3]1[cH:7][cH:8][cH:9][cH:10][cH:11]1)[OH:4],0.46,30,ethanol,303,1.0,[C:1]([CH2:2][C:5](=[O:6])[NH:12][c:13]1[cH:14][c:15]([N+:19](=[O:20])[O-:21])[cH:16][cH:17][cH:18]1)([c:3]1[cH:7][cH:8][cH:9][cH:10][cH:11]1)=[O:4],[C:1](=[CH:2]\[C:5](=[O:6])[NH:12][c:13]1[cH:14][c:15]([N+:19](=[O:20])[O-:21])[cH:16][cH:17][cH:18]1)(\[c:3]1[cH:7][cH:8][cH:9][cH:10][cH:11]1)[OH:4],1,1
66,[C:1]([CH:2]([CH3:4])[C:5]([NH:6][c:8]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)=[O:7])(=[O:3])[CH3:9]>>[C:1](=[C:2](\[CH3:4])[C:5]([NH:6][c:8]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)=[O:7])(\[OH:3])[CH3:9],-1.8,20,ethanol,293,1.0,[C:1]([CH:2]([CH3:4])[C:5]([NH:6][c:8]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)=[O:7])(=[O:3])[CH3:9],[C:1](=[C:2](\[CH3:4])[C:5]([NH:6][c:8]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)=[O:7])(\[OH:3])[CH3:9],1,1
67,[C:1]([CH:2]([Cl:4])[C:5]([NH:6][c:8]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)=[O:7])(=[O:3])[CH3:9]>>[C:1](=[C:2](\[Cl:4])[C:5]([NH:6][c:8]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)=[O:7])(\[OH:3])[CH3:9],-0.68,20,ethanol,293,1.0,[C:1]([CH:2]([Cl:4])[C:5]([NH:6][c:8]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)=[O:7])(=[O:3])[CH3:9],[C:1](=[C:2](\[Cl:4])[C:5]([NH:6][c:8]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)=[O:7])(\[OH:3])[CH3:9],1,1
68,[C:1]([CH:2]([Br:4])[C:5]([NH:6][c:8]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)=[O:7])(=[O:3])[CH3:9]>>[C:1](=[C:2](\[Br:4])[C:5]([NH:6][c:8]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)=[O:7])(\[OH:3])[CH3:9],0.06,20,ethanol,293,1.0,[C:1]([CH:2]([Br:4])[C:5]([NH:6][c:8]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)=[O:7])(=[O:3])[CH3:9],[C:1](=[C:2](\[Br:4])[C:5]([NH:6][c:8]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)=[O:7])(\[OH:3])[CH3:9],1,1
69,[C:1]([CH:2]([C:4](=[O:15])[CH3:16])[C:5]([NH:6][c:8]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)=[O:7])(=[O:3])[CH3:9]>>[C:1](/[C:2](=[C:4](\[OH:15])[CH3:16])[C:5]([NH:6][c:8]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)=[O:7])(=[O:3])[CH3:9],-0.12,20,ethanol,293,1.0,[C:1]([CH:2]([C:4](=[O:15])[CH3:16])[C:5]([NH:6][c:8]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)=[O:7])(=[O:3])[CH3:9],[C:1](/[C:2](=[C:4](\[OH:15])[CH3:16])[C:5]([NH:6][c:8]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)=[O:7])(=[O:3])[CH3:9],1,1
70,[C:1]([CH:2]([C:4]#[N:15])[C:5]([NH:6][c:8]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)=[O:7])(=[O:3])[CH3:9]>>[C:1](=[C:2](\[C:4]#[N:15])[C:5]([NH:6][c:8]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)=[O:7])(\[OH:3])[CH3:9],0.46,20,ethanol,293,1.0,[C:1]([CH:2]([C:4]#[N:15])[C:5]([NH:6][c:8]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)=[O:7])(=[O:3])[CH3:9],[C:1](=[C:2](\[C:4]#[N:15])[C:5]([NH:6][c:8]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)=[O:7])(\[OH:3])[CH3:9],1,1
71,[C:1]([CH:2]([c:4]1[cH:15][cH:16][cH:17][cH:18][cH:19]1)[C:5]([NH:6][c:8]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)=[O:7])(=[O:3])[CH3:9]>>[C:1](=[C:2](\[c:4]1[cH:15][cH:16][cH:17][cH:18][cH:19]1)[C:5]([NH:6][c:8]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)=[O:7])(\[OH:3])[CH3:9],-0.73,20,ethanol,293,1.0,[C:1]([CH:2]([c:4]1[cH:15][cH:16][cH:17][cH:18][cH:19]1)[C:5]([NH:6][c:8]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)=[O:7])(=[O:3])[CH3:9],[C:1](=[C:2](\[c:4]1[cH:15][cH:16][cH:17][cH:18][cH:19]1)[C:5]([NH:6][c:8]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)=[O:7])(\[OH:3])[CH3:9],1,1
72,[C:1]([CH2:2][C:4]([NH:5][c:7]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)=[O:6])(=[O:3])[CH3:8]>>[C:1](=[CH:2]/[C:4]([NH:5][c:7]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)=[O:6])(\[OH:3])[CH3:8],-0.97,20,"ethane-1,2-diol",293,1.0,[C:1]([CH2:2][C:4]([NH:5][c:7]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)=[O:6])(=[O:3])[CH3:8],[C:1](=[CH:2]/[C:4]([NH:5][c:7]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)=[O:6])(\[OH:3])[CH3:8],1,1
73,[C:1]([CH:2]([CH3:4])[C:5]([NH:6][c:8]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)=[O:7])(=[O:3])[CH3:9]>>[C:1](=[C:2](\[CH3:4])[C:5]([NH:6][c:8]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)=[O:7])(\[OH:3])[CH3:9],-1.6,20,"ethane-1,2-diol",293,1.0,[C:1]([CH:2]([CH3:4])[C:5]([NH:6][c:8]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)=[O:7])(=[O:3])[CH3:9],[C:1](=[C:2](\[CH3:4])[C:5]([NH:6][c:8]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)=[O:7])(\[OH:3])[CH3:9],1,1
74,[C:1]([CH:2]([Cl:4])[C:5]([NH:6][c:8]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)=[O:7])(=[O:3])[CH3:9]>>[C:1](=[C:2](\[Cl:4])[C:5]([NH:6][c:8]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)=[O:7])(\[OH:3])[CH3:9],-0.49,20,"ethane-1,2-diol",293,1.0,[C:1]([CH:2]([Cl:4])[C:5]([NH:6][c:8]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)=[O:7])(=[O:3])[CH3:9],[C:1](=[C:2](\[Cl:4])[C:5]([NH:6][c:8]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)=[O:7])(\[OH:3])[CH3:9],1,1
75,[C:1]([CH:2]([C:4]([CH3:15])=[O:16])[C:5]([NH:6][c:8]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)=[O:7])(=[O:3])[CH3:9]>>[C:1](/[C:2](=[C:4](/[CH3:15])[OH:16])[C:5]([NH:6][c:8]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)=[O:7])(=[O:3])[CH3:9],-0.13,20,"ethane-1,2-diol",293,1.0,[C:1]([CH:2]([C:4]([CH3:15])=[O:16])[C:5]([NH:6][c:8]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)=[O:7])(=[O:3])[CH3:9],[C:1](/[C:2](=[C:4](/[CH3:15])[OH:16])[C:5]([NH:6][c:8]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)=[O:7])(=[O:3])[CH3:9],1,1
76,[C:1]([CH:2]([C:4]#[N:15])[C:5]([NH:6][c:8]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)=[O:7])(=[O:3])[CH3:9]>>[C:1](=[C:2](\[C:4]#[N:15])[C:5]([NH:6][c:8]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)=[O:7])(\[OH:3])[CH3:9],0.68,20,"ethane-1,2-diol",293,1.0,[C:1]([CH:2]([C:4]#[N:15])[C:5]([NH:6][c:8]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)=[O:7])(=[O:3])[CH3:9],[C:1](=[C:2](\[C:4]#[N:15])[C:5]([NH:6][c:8]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)=[O:7])(\[OH:3])[CH3:9],1,1
77,[C:1]([CH:2]([c:4]1[cH:15][cH:16][cH:17][cH:18][cH:19]1)[C:5]([NH:6][c:8]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)=[O:7])(=[O:3])[CH3:9]>>[C:1](=[C:2](\[c:4]1[cH:15][cH:16][cH:17][cH:18][cH:19]1)[C:5]([NH:6][c:8]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)=[O:7])(\[OH:3])[CH3:9],-0.91,20,"ethane-1,2-diol",293,1.0,[C:1]([CH:2]([c:4]1[cH:15][cH:16][cH:17][cH:18][cH:19]1)[C:5]([NH:6][c:8]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)=[O:7])(=[O:3])[CH3:9],[C:1](=[C:2](\[c:4]1[cH:15][cH:16][cH:17][cH:18][cH:19]1)[C:5]([NH:6][c:8]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)=[O:7])(\[OH:3])[CH3:9],1,1
78,[C:1]([CH2:2][CH:4]=[O:5])(=[O:3])[CH3:6]>>[C:1](=[CH:2]/[CH:4]=[O:5])(\[OH:3])[CH3:6],0.69,26,propan-2-one,299,1.0,[C:1]([CH2:2][CH:4]=[O:5])(=[O:3])[CH3:6],[C:1](=[CH:2]/[CH:4]=[O:5])(\[OH:3])[CH3:6],1,1
79,[C:1]([CH2:2][CH:4]=[O:5])(=[O:3])[CH2:6][CH:7]([CH3:8])[CH3:9]>>[C:1](=[CH:2]/[CH:4]=[O:5])(\[OH:3])[CH2:6][CH:7]([CH3:8])[CH3:9],0.83,26,propan-2-one,299,1.0,[C:1]([CH2:2][CH:4]=[O:5])(=[O:3])[CH2:6][CH:7]([CH3:8])[CH3:9],[C:1](=[CH:2]/[CH:4]=[O:5])(\[OH:3])[CH2:6][CH:7]([CH3:8])[CH3:9],1,1
