reaction_index,tabulated_constant,temperature,temperature_celsius,solvent,solvent_original,solvent_part,reactant_smiles,product_smiles,reactant_smiles_mapped,product_smiles_mapped,formal_charge,reactant_is_zwitterion,product_is_zwitterion,n_reactants,n_products
35,0.07,298,25,methanol,methanol,1.0,O=C(CC(=O)c1ccc([N+](=O)[O-])cc1)Nc1ccccc1,O=C(/C=C(/O)c1ccc([N+](=O)[O-])cc1)Nc1ccccc1,[C:1]([CH2:2][C:5](=[O:6])[NH:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)(=[O:3])[c:4]1[cH:14][cH:15][c:16]([N+:19](=[O:20])[O-:21])[cH:17][cH:18]1,[C:1](=[CH:2]/[C:5](=[O:6])[NH:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)(\[OH:3])[c:4]1[cH:14][cH:15][c:16]([N+:19](=[O:20])[O-:21])[cH:17][cH:18]1,0,False,False,1,1
36,-0.57,298,25,methanol,methanol,1.0,Cc1ccc(NC(=O)CC(=O)c2ccc(Cl)cc2)cc1,Cc1ccc(NC(=O)/C=C(/O)c2ccc(Cl)cc2)cc1,[C:1]([CH2:2][C:5](=[O:6])[NH:7][c:8]1[cH:9][cH:10][c:11]([CH3:20])[cH:12][cH:13]1)(=[O:3])[c:4]1[cH:14][cH:15][c:16]([Cl:19])[cH:17][cH:18]1,[C:1](=[CH:2]/[C:5](=[O:6])[NH:7][c:8]1[cH:9][cH:10][c:11]([CH3:20])[cH:12][cH:13]1)(\[OH:3])[c:4]1[cH:14][cH:15][c:16]([Cl:19])[cH:17][cH:18]1,0,False,False,1,1
37,-0.26,298,25,methanol,methanol,1.0,O=C(CC(=O)c1ccc(Cl)cc1)Nc1cccc([N+](=O)[O-])c1,O=C(/C=C(/O)c1ccc(Cl)cc1)Nc1cccc([N+](=O)[O-])c1,[C:1]([CH2:2][C:5](=[O:6])[NH:7][c:8]1[cH:9][c:10]([N+:20](=[O:21])[O-:22])[cH:11][cH:12][cH:13]1)(=[O:3])[c:4]1[cH:14][cH:15][c:16]([Cl:19])[cH:17][cH:18]1,[C:1](=[CH:2]/[C:5](=[O:6])[NH:7][c:8]1[cH:9][c:10]([N+:20](=[O:21])[O-:22])[cH:11][cH:12][cH:13]1)(\[OH:3])[c:4]1[cH:14][cH:15][c:16]([Cl:19])[cH:17][cH:18]1,0,False,False,1,1
38,-1.3,298,25,methanol,methanol,1.0,COc1ccc(C(=O)CC(=O)Nc2ccc(C)cc2)cc1,COc1ccc(/C(O)=C\C(=O)Nc2ccc(C)cc2)cc1,[C:1]([CH2:2][C:5](=[O:6])[NH:7][c:8]1[cH:9][cH:10][c:11]([CH3:20])[cH:12][cH:13]1)(=[O:3])[c:4]1[cH:14][cH:15][c:16]([O:19][CH3:21])[cH:17][cH:18]1,[C:1](=[CH:2]/[C:5](=[O:6])[NH:7][c:8]1[cH:9][cH:10][c:11]([CH3:20])[cH:12][cH:13]1)(\[OH:3])[c:4]1[cH:14][cH:15][c:16]([O:19][CH3:21])[cH:17][cH:18]1,0,False,False,1,1
39,-1.09,298,25,methanol,methanol,1.0,COc1ccc(C(=O)CC(=O)Nc2ccc(Br)cc2)cc1,COc1ccc(/C(O)=C\C(=O)Nc2ccc(Br)cc2)cc1,[C:1]([CH2:2][C:5](=[O:6])[NH:7][c:8]1[cH:9][cH:10][c:11]([Br:20])[cH:12][cH:13]1)(=[O:3])[c:4]1[cH:14][cH:15][c:16]([O:19][CH3:21])[cH:17][cH:18]1,[C:1](=[CH:2]/[C:5](=[O:6])[NH:7][c:8]1[cH:9][cH:10][c:11]([Br:20])[cH:12][cH:13]1)(\[OH:3])[c:4]1[cH:14][cH:15][c:16]([O:19][CH3:21])[cH:17][cH:18]1,0,False,False,1,1
40,-0.97,298,25,methanol,methanol,1.0,COc1ccc(C(=O)CC(=O)Nc2cccc([N+](=O)[O-])c2)cc1,COc1ccc(/C(O)=C\C(=O)Nc2cccc([N+](=O)[O-])c2)cc1,[C:1]([CH2:2][C:5](=[O:6])[NH:7][c:8]1[cH:9][c:10]([N+:21](=[O:22])[O-:23])[cH:11][cH:12][cH:13]1)(=[O:3])[c:4]1[cH:14][cH:15][c:16]([O:19][CH3:20])[cH:17][cH:18]1,[C:1](=[CH:2]/[C:5](=[O:6])[NH:7][c:8]1[cH:9][c:10]([N+:21](=[O:22])[O-:23])[cH:11][cH:12][cH:13]1)(\[OH:3])[c:4]1[cH:14][cH:15][c:16]([O:19][CH3:20])[cH:17][cH:18]1,0,False,False,1,1
41,-0.02,298,25,methanol,methanol,1.0,Cc1ccc(NC(=O)CC(=O)c2ccc([N+](=O)[O-])cc2)cc1,Cc1ccc(NC(=O)/C=C(/O)c2ccc([N+](=O)[O-])cc2)cc1,[C:1]([CH2:2][C:5](=[O:6])[NH:7][c:8]1[cH:9][cH:10][c:11]([CH3:19])[cH:12][cH:13]1)(=[O:3])[c:4]1[cH:14][cH:15][c:16]([N+:20](=[O:21])[O-:22])[cH:17][cH:18]1,[C:1](=[CH:2]/[C:5](=[O:6])[NH:7][c:8]1[cH:9][cH:10][c:11]([CH3:19])[cH:12][cH:13]1)(\[OH:3])[c:4]1[cH:14][cH:15][c:16]([N+:20](=[O:21])[O-:22])[cH:17][cH:18]1,0,False,False,1,1
42,0.2,298,25,methanol,methanol,1.0,O=C(CC(=O)c1ccc([N+](=O)[O-])cc1)Nc1ccc(Br)cc1,O=C(/C=C(/O)c1ccc([N+](=O)[O-])cc1)Nc1ccc(Br)cc1,[C:1]([CH2:2][C:5](=[O:6])[NH:7][c:8]1[cH:9][cH:10][c:11]([Br:19])[cH:12][cH:13]1)(=[O:3])[c:4]1[cH:14][cH:15][c:16]([N+:20](=[O:21])[O-:22])[cH:17][cH:18]1,[C:1](=[CH:2]/[C:5](=[O:6])[NH:7][c:8]1[cH:9][cH:10][c:11]([Br:19])[cH:12][cH:13]1)(\[OH:3])[c:4]1[cH:14][cH:15][c:16]([N+:20](=[O:21])[O-:22])[cH:17][cH:18]1,0,False,False,1,1
43,-1.35,293,20,methanol,methanol,1.0,CC(=O)C(C)C(=O)Nc1ccccc1,C/C(O)=C(/C)C(=O)Nc1ccccc1,[C:1]([CH:2]([C:4](=[O:5])[NH:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)[CH3:6])(=[O:3])[CH3:14],[C:1](=[C:2](/[C:4](=[O:5])[NH:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)[CH3:6])(\[OH:3])[CH3:14],0,False,False,1,1
44,-1.03,293,20,methanol,methanol,1.0,CC(=O)C(Cl)C(=O)Nc1ccccc1,C/C(O)=C(/Cl)C(=O)Nc1ccccc1,[C:1]([CH:2]([C:4](=[O:5])[NH:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)[Cl:6])(=[O:3])[CH3:14],[C:1](=[C:2](/[C:4](=[O:5])[NH:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)[Cl:6])(\[OH:3])[CH3:14],0,False,False,1,1
45,-0.28,293,20,methanol,methanol,1.0,CC(=O)C(Br)C(=O)Nc1ccccc1,C/C(O)=C(/Br)C(=O)Nc1ccccc1,[C:1]([CH:2]([C:4](=[O:5])[NH:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)[Br:6])(=[O:3])[CH3:14],[C:1](=[C:2](/[C:4](=[O:5])[NH:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)[Br:6])(\[OH:3])[CH3:14],0,False,False,1,1
